Odin Sphere Leifthrasir	9.3	Vanillaware	Atlus
Persona 4 Golden	9.3	Atlus	Atlus
Shovel Knight	9.2	Yacht Club Games	Yacht Club Games
Fez	9.1	Polytron Corp.	Polytron Corp.
Broken Age	9.0	Double Fine Productions	Double Fine Productions
SteamWorld Heist	9.0	Image & Form	Image & Form
Velocity 2X	9.0	FuturLab	FuturLab
LIMBO	8.9	PLAYDEAD	PLAYDEAD
LittleBigPlanet PS Vita	8.8	Tarsier Studios	SCEA
Machinarium	8.8	Amanita Design	Amanita Design
Rayman Origins	8.8	UBlart Montpellier	Ubisoft
Spelunky	8.8	Mossmouth	Microsoft Game Studios
Guacamelee!	8.7	DrinkBox Studios	DrinkBox Studios
Joe Danger	8.7	Hello Games	Hello Games
PixelJunk Shooter Ultimate	8.7	Double Eleven	Double Eleven
Rayman Legends	8.7	Ubisoft Montpellier	Ubisoft
Tearaway	8.7	Media Molecule	SCEA
Velocity Ultra	8.7	FuturLab	FuturLab
Code:Realize - Guardian of Rebirth	8.6	Otomate	Aksys Games
Final Fantasy X / X-2 HD Remaster	8.6	Virtuos	Square Enix
Tales From Space: Mutant Blobs Attack	8.6	DrinkBox Studios	DrinkBox Studios
The Swapper	8.6	Facepalm Games	Facepalm Games
Volume	8.6	Mike Bithell	Mike Bithell
Downwell	8.5	Moppin	Devolver Digital
Hotline Miami	8.5	Dennaton	Devolver Digital
Mortal Kombat (2011)	8.5	NetherRealm Studios	Warner Bros. Interactive Entertainment
OlliOlli2: Welcome to Olliwood	8.5	roll7	roll7
Resogun	8.5	XDEV	SCEA
Rogue Legacy	8.5	Cellar Door Games	Cellar Door Games
Sine Mora	8.5	Grasshopper Manufacture	Microsoft Game Studios
Super Meat Boy	8.5	Team Meat	Team Meat
Terraria	8.5	Engine Software	505 Games
Frozen Synapse Prime	8.4	Double Eleven	Double Eleven
Grim Fandango Remastered	8.4	Double Fine Productions	Double Fine Productions
Minecraft	8.4	4J Studios	Microsoft Game Studios
PixelJunk Monsters: Ultimate HD	8.4	Double Eleven	Double Eleven
Sound Shapes	8.4	SCEA	SCEA
Steins;Gate 0	8.4	5pb	PQube
TxK	8.4	Llamasoft	Llamasoft
Zero Escape: Virtue's Last Reward	8.4	ChunSoft	Aksys Games
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien	8.3	Gaijin Games	Gaijin Games
BlazBlue: Continuum Shift Extend	8.3	Arc System Works	Aksys Games
Child of Light	8.3	Ubisoft Montreal	Ubisoft
Gravity Rush	8.3	SCE Japan Studio	SCEA
Hakuoki: Kyoto Winds	8.3	Idea Factory	Idea Factory
Hatsune Miku: Project Diva X	8.3	Sega	Sega
Luftrausers	8.3	Vlambeer	Devolver Digital
Lumines: Electronic Symphony	8.3	Q Entertainment	Ubisoft
Oddworld: Abe's Oddysee - New 'n' Tasty	8.3	Just Add Water	Oddworld Inhabitants
Oddworld: Stranger's Wrath HD	8.3	Square One Games	Oddworld Inhabitants
Steins;Gate	8.3	5pb	PQube
Zero Escape: The Nonary Games	8.3	Spike Chunsoft	Aksys Games
Zero Escape: Zero Time Dilemma	8.3	Chime	Aksys Games
Alone With You (2017)	8.2	Benjamin Rivers	Benjamin Rivers
Day of the Tentacle Remastered	8.2	Double Fine Productions	Double Fine Productions
Disgaea 4: A Promise Unforgotten	8.2	Nippon Ichi Software	NIS America
Fuel Tiracas	8.2	FuturLab	FuturLab
Quell Memento	8.2	Bulkypix	Bulkypix
Severed	8.2	DrinkBox Studios	DrinkBox Studios
Shantae: Half-Genie Hero	8.2	WayForward	XSEED Games
Shutshimi	8.2	Neon Deity Games	Choice Provisions
Super Stardust Delta	8.2	Housemarque	Sony Interactive Entertainment
The Walking Dead: A Telltale Games Series - Game of the Year Edition	8.2	Telltale Games	Telltale Games
Toukiden: Kiwami	8.2	Koei Tecmo Games	Koei Tecmo Games
VA-11 Hall-A: Cyberpunk Bartender Action	8.2	Sukeban Games	Ysbryd Games
XCOM: Enemy Unknown	8.2	Firaxis Games	2K Games
Ys: Memories of Celceta	8.2	Falcom	XSEED Games
1001 Spikes	8.1	Nicalis	Nicalis
Danganronpa 2: Goodbye Despair	8.1	Spike Chunsoft	NIS America
DJMax Technika Tune	8.1	Pentavision Entertainment	Pentavision Entertainment
Gunslugs	8.1	Abstraction Games	Abstraction Games
