title,score,developer,publisher,rom_name,size,running_total
Tearaway,8.9,Media Molecule,SCEA,Tearaway (USA).vpk,907.6 MiB,907.6 MiB
LittleBigPlanet PS Vita,8.8,Tarsier Studios,SCEA,"LittleBigPlanet PS Vita (Europe) (En,Fr,De,Es,It,Nl,Pt,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,2.5 GiB
Killzone: Mercenary,8.8,Guerilla Cambridge,SCEA,"Killzone - Mercenary (Europe) (En,Fr,De,Es,It,Nl,Pt).vpk",3.3 GiB,5.8 GiB
Gravity Rush,8.6,SCE Japan Studio,SCEA,Gravity Rush (Europe).vpk,1.4 GiB,7.2 GiB
Demon Gaze,8.6,Experience Inc.,NIS America,"Demon Gaze (Europe) (En,Ja).vpk",512.4 MiB,7.7 GiB
TxK,8.4,Llamasoft,Llamasoft,,,
Lumines: Electronic Symphony,8.3,Q Entertainment,Ubisoft,Lumines - Electronic Symphony (USA).vpk,720.4 MiB,8.4 GiB
Freedom Wars,8.3,SCE Japan Studio,SCEA,Freedom Wars (USA).vpk,1.3 GiB,9.7 GiB
WipEout 2048,8.2,Studio Liverpool,SCEA,"WipEout 2048 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru).vpk",1.6 GiB,11.3 GiB
Tokyo Jungle Mobile,8.2,SCEI,SCEA,,,
Surge (2012),8.2,FuturLab,FuturLab,,,
Super Stardust Delta,8.2,Housemarque,Sony Interactive Entertainment,,,
Soul Sacrifice,8.2,SCE Japan Studio,SCEA,Soul Sacrifice (USA).vpk,1.7 GiB,13.0 GiB
Muramasa Rebirth: Fishy Tales of the Nekomata,8.2,Vanillaware,Aksys Games,,,
Fuel Tiracas,8.2,FuturLab,FuturLab,,,
Tokyo Xanadu,8.1,Falcom,Aksys Games,Tokyo Xanadu (USA).vpk,2.2 GiB,15.2 GiB
Muramasa Rebirth: A Cause to Daikon for,8.1,Vanillaware,Aksys Games,,,
DJMax Technika Tune,8.1,Pentavision Entertainment,Pentavision Entertainment,DJMax Technika Tune (USA).vpk,3.1 GiB,18.3 GiB
Criminal Girls 2: Party Favors,8.1,Nippon Ichi Software,NIS America,Criminal Girls 2 - Party Favors (Europe).vpk,1.1 GiB,19.4 GiB
Uncharted: Golden Abyss,8.0,Sony Bend,SCEA,"Uncharted - Golden Abyss (Europe) (En-GB,Es,Pt,Sv,No,Da,Fi,Pl,Ru).vpk",3.3 GiB,22.7 GiB
Oreshika: Tainted Bloodlines,8.0,Alfa System,SCEA,,,
Open Me!,8.0,SCEI,SCEA,,,
Virtua Tennis 4: World Tour Edition,7.9,Sega,Sega,"Virtua Tennis 4 - World Tour Edition (USA) (En,Fr,Es).vpk",1.0 GiB,23.7 GiB
Switch Galaxy,7.9,Atomicom,Atomicom,,,
Invizimals: The Resistance,7.9,Novarama,SCEA,,,
FIFA Soccer (2012),7.9,Electronic Arts,EA Sports,FIFA Soccer 13 (USA).vpk,2.8 GiB,26.5 GiB
Ragnarok Odyssey,7.8,Game Arts,XSEED Games,Ragnarok Odyssey (USA).vpk,1.0 GiB,27.6 GiB
OMG HD Zombies!,7.8,Laughing Jackal,Laughing Jackal,,,
Malicious Rebirth,7.8,Alvion,SCEA,"Muramasa Rebirth (USA) (En,Ja).vpk",455.4 MiB,28.0 GiB
Bad Apple Wars,7.8,Otomate,Aksys Games,Bad Apple Wars (USA).vpk,1.5 GiB,29.5 GiB
Surge Deluxe,7.7,FuturLab,FuturLab,,,
PulzAR,7.7,XDEV,SCEA,,,
Floating Cloud God Saves the Pilgrims in HD!,7.7,Dakko Dakko,Dakko Dakko,,,
Sword Art Online: Hollow Fragment,7.6,Aquria,Bandai Namco Games,"Sword Art Online - Hollow Realization (Europe) (En,Fr,De,Es,It).vpk",2.8 GiB,32.3 GiB
New Little King's Story,7.6,Konami,Konami,"New Little King's Story (Europe) (En,Fr,De,Es,It).vpk",659.5 MiB,33.0 GiB
Earth Defense Force 2017 Portable,7.6,Sandlot,D3Publisher,Earth Defense Force 2 - Invaders From Planet Space (USA).vpk,280.3 MiB,33.3 GiB
Dynasty Warriors Next,7.6,Omega Force,Tecmo Koei Games,Dynasty Warriors Next (Europe).vpk,1.4 GiB,34.7 GiB
PlayStation Vita Pets,7.5,Spiral House,SCEA,"PlayStation Vita Pets (Europe) (En,Fr,De,Es).vpk",1.6 GiB,36.3 GiB
Gravity Crash Ultra,7.5,Just Add Water,Just Add Water,Gravity Rush (Europe).vpk,1.4 GiB,37.7 GiB
Touch My Katamari,7.4,Bandai Namco Games,Namco Bandai Games,Touch My Katamari (USA).vpk,590.0 MiB,38.2 GiB
The Hungry Horde,7.4,Nosebleed Interactive,SCEA,,,
Frobisher Says!,7.4,Honeyslug Ltd,SCEA,,,
Super Monkey Ball: Banana Splitz,7.3,Marvelous AQL,Sega,Super Monkey Ball - Banana Splitz (USA).vpk,811.6 MiB,39.0 GiB
MonsterBag,7.3,IguanaBee,SCEA,,,
Invizimals: The Alliance,7.3,Novarama,SCEA,,,
Football Manager Classic 2014,7.3,Sports Interactive,Sega,,,
Smart as...,7.2,XDEV,SCEA,"Smart as... (Europe) (En,Fr,De,It,Nl).vpk",1.5 GiB,40.5 GiB
Senran Kagura: Bon Appetit!,7.2,Meteorise,XSEED Games,Senran Kagura Shinovi Versus (USA).vpk,1.9 GiB,42.4 GiB
Gravity Rush: Military Pack,7.2,SCE Japan Studio,SCEA,Gravity Rush (Europe).vpk,1.4 GiB,43.9 GiB
Unit 13,7.1,Zipper Interactive,SCEA,"Unit 13 (USA) (En,Fr,Es,Pt).vpk",1.2 GiB,45.0 GiB
Murasaki Baby,7.0,Ovosonico,SCEA,,,
Destiny of Spirits,7.0,Q Entertainment,SCEA,,,
Assassin's Creed III: Liberation,7.0,Ubisoft Sofia,Ubisoft,"Assassin's Creed III - Liberation (Europe) (En,Fr,De,Es,It,Nl,Ru).vpk",2.9 GiB,47.9 GiB
Valhalla Knights 3,6.9,K2,XSEED Games,Valhalla Knights 3 (USA).vpk,899.1 MiB,48.8 GiB
Resistance: Burning Skies,6.9,Nihilistic,SCEA,"Resistance - Burning Skies (France) (Fr,De,It).vpk",2.9 GiB,51.7 GiB
Reel Fishing: Master's Challenge,6.8,"Tachyon Inc.,",Natsume,,,
Orgarhythm,6.8,Neilo,XSEED Games,,,
Metrico,6.8,Digital Dreams,Digital Dreams,,,
Uncharted: Fight for Fortune,6.7,Sony Bend,SCEA,,,
The Muppets: Movie Adventures,6.7,Virtual Toys,SCEA,"Muppets Movie, The - Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,El).vpk",870.8 MiB,52.6 GiB
Flying Hamster HD (2010),6.7,The Game Atelier,The Game Atelier,,,
The HD Adventures of Rotating Octopus Character,6.6,Dakko Dakko,Dakko Dakko,,,
Shinobido 2: Revenge of Zen,6.6,Acquire,Namco Bandai Games,Shinobido 2 - Revenge of Zen (USA).vpk,1.1 GiB,53.6 GiB
Period: Cube - Shackles of Amadeus,6.6,Otomate,Idea Factory,Period - Cube - Shackles of Amadeus (USA).vpk,2.6 GiB,56.2 GiB
Army Corps of Hell,6.6,"Entersphere, Inc.",Square Enix,"Army Corps of Hell (Europe) (En,Fr,De,Es,It).vpk",646.4 MiB,56.8 GiB
Sketchcross,6.5,Spiky Fish Games,Spiky Fish Games,,,
NekoBuro: Cats Block,6.5,Arc System Works,Arc System Works,,,
Mobile Suit Gundam: Extreme VS-Force,6.5,Bandai Namco Games,Bandai Namco Games,,,
Lets Fish! Hooked On,6.5,SIMS,Wired Productions,,,
UFO Dad,6.3,Edit Mode,Edit Mode,,,
ModNation Racers: Road Trip,6.3,SCEA,SCEA,ModNation Racers - Road Trip (USA).vpk,1.5 GiB,58.3 GiB
Lemmings Touch,6.3,D3T,SCEA,,,
Hyperdimension Neptunia PP: Producing Perfection,6.3,Tamsoft,NIS America,Hyperdimension Neptunia PP - Producing Perfection (Europe).vpk,1.2 GiB,59.5 GiB
Treasures of Montezuma Blitz,6.1,Alawar Entertainment,Alawar Entertainment,,,
Sumioni: Demon Arts,6.1,Acquire,XSEED Games,,,
Ecolibrium,6.1,SCEE,SCEA,,,
Phineas and Ferb: Day of Doofenshmirtz,6.0,Virtual Toys,SCEA,"Phineas and Ferb - Day of Doofenshmirtz (Europe) (En,Fr,De,Es,It,Nl,Pt,El).vpk",861.4 MiB,60.4 GiB
Silent Hill: Book of Memories,5.8,WayForward,Konami,"Silent Hill - Book of Memories (Europe) (En,Fr,De,Es,It).vpk",1.5 GiB,61.9 GiB
