title,score,developer,publisher,rom_name,size
The Legend of Zelda: Ocarina of Time 3D,9.4,GREZZO,Nintendo,"Legend of Zelda, The - Ocarina of Time 3D (USA) (En,Fr,Es) (Rev 1).3ds",536870912
Fire Emblem: Awakening,9.2,Intelligent Systems,Nintendo,Fire Emblem - Awakening (USA).3ds,2147483648
The Legend of Zelda: A Link Between Worlds,9.1,Nintendo,Nintendo,"Legend of Zelda, The - A Link Between Worlds (USA) (En,Fr,Es).3ds",1073741824
Super Mario 3D Land,9.0,Nintendo,Nintendo,"Super Mario 3D Land (USA) (En,Fr,Es) (Rev 1).3ds",536870912
Pushmo,9.0,Intelligent Systems,Nintendo,,
Pokemon Y,8.8,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2147483648
Fire Emblem Fates: Special Edition,8.8,Intelligent Systems,Nintendo,Fire Emblem Fates - Special Edition (USA).3ds,2147483648
Fire Emblem Fates: Revelation,8.8,Intelligent Systems,Nintendo,"Resident Evil - Revelations (USA) (En,Ja,Fr,De,Es,It) (Rev 1).3ds",4294967296
Animal Crossing: New Leaf,8.8,Nintendo,Nintendo,"Animal Crossing - New Leaf (USA) (En,Fr,Es).3ds",1073741824
Yo-kai Watch 2: Psychic Specters,8.7,Level 5,Nintendo,"Yo-Kai Watch 2 - Psychic Specters (USA) (En,Fr,Es).3ds",4294967296
Pokemon X,8.7,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2147483648
Pokemon Sun,8.7,Game Freak,Nintendo,"Pokemon Y (USA) (En,Ja,Fr,De,Es,It,Ko).3ds",2147483648
Pokemon Moon,8.7,Game Freak,Nintendo,"Pokemon Moon (USA) (En,Ja,Fr,De,Es,It,Zh,Ko).3ds",4294967296
Monster Hunter 4 Ultimate,8.7,Capcom,Capcom,Monster Hunter 4 Ultimate (USA).3ds,4294967296
Metroid: Samus Returns,8.7,Mercury Steam,Nintendo,"Metroid - Samus Returns (USA) (En,Fr,Es).3ds",1073741824
Kirby: Planet Robobot,8.7,HAL Labs,Nintendo,Kirby - Planet Robobot (USA).3ds,1073741824
Kid Icarus: Uprising,8.7,Project Sora,Nintendo,"Kid Icarus - Uprising (USA) (En,Fr,Es).3ds",2147483648
Gotta Protectors (2016),8.7,Ancient Corp,Ancient Corp,,
Fire Emblem Fates: Conquest,8.7,Intelligent Systems,Nintendo,Fire Emblem Fates - Conquest (USA).3ds,2147483648
Yo-kai Watch 3,8.6,Level 5,Nintendo,Youkai Watch (Japan).3ds,1073741824
Picross 3D: Round 2,8.6,HAL Labs,Nintendo,"Picross 3D - Round 2 (Europe) (En,Fr,De,Es,It).3ds",268435456
Luigi's Mansion: Dark Moon,8.6,Next Level Games,Nintendo,"Luigi's Mansion - Dark Moon (USA) (En,Fr,Es).3ds",1073741824
Kirby: Triple Deluxe,8.6,HAL Labs,Nintendo,"Kirby - Triple Deluxe (USA) (En,Fr,Es).3ds",1073741824
Inazuma Eleven Go: Chrono Stones - Wildfire,8.6,Level 5,Level 5,"Inazuma Eleven GO - Chrono Stones - Wildfire (Europe) (En,Fr,De,Es,It).3ds",4294967296
Fire Emblem Fates: Birthright,8.6,Intelligent Systems,Nintendo,Fire Emblem Fates - Birthright (USA).3ds,2147483648
Fire Emblem Echoes: Shadows of Valentia,8.6,Intelligent Systems,Nintendo,"Fire Emblem Echoes - Shadows of Valentia (USA) (En,Fr,Es).3ds",2147483648
